"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","402","should trim entered text","","Sat Nov 09 20:11:19 IST 2024","passed","Sat Nov 09 20:11:20 IST 2024","Editing","tests-examples/demo-todo-app.spec.js","",""
"","464","should allow me to display all items","","Sat Nov 09 20:11:24 IST 2024","passed","Sat Nov 09 20:11:24 IST 2024","Routing","tests-examples/demo-todo-app.spec.js","",""
"","394","should allow me to clear the complete state of all items","","Sat Nov 09 20:11:17 IST 2024","passed","Sat Nov 09 20:11:17 IST 2024","Mark all as completed","tests-examples/demo-todo-app.spec.js","",""
"","404","should persist its data","","Sat Nov 09 20:11:22 IST 2024","passed","Sat Nov 09 20:11:22 IST 2024","Persistence","tests-examples/demo-todo-app.spec.js","",""
"","392","should allow me to display completed items","","Sat Nov 09 20:11:23 IST 2024","passed","Sat Nov 09 20:11:24 IST 2024","Routing","tests-examples/demo-todo-app.spec.js","",""
"","1230","get started link","firefox","Sat Nov 09 20:10:25 IST 2024","passed","Sat Nov 09 20:10:26 IST 2024","","example.spec.js","",""
"","380","should allow me to mark items as complete","","Sat Nov 09 20:11:18 IST 2024","passed","Sat Nov 09 20:11:18 IST 2024","Item","tests-examples/demo-todo-app.spec.js","",""
"","412","complete all checkbox should update state when items are completed / cleared","","Sat Nov 09 20:11:17 IST 2024","passed","Sat Nov 09 20:11:18 IST 2024","Mark all as completed","tests-examples/demo-todo-app.spec.js","",""
"","6268","has title","firefox","Sat Nov 09 20:10:23 IST 2024","failed","Sat Nov 09 20:10:30 IST 2024",""," fail.spec.js","",""
"","308","should clear text input field when an item is added","","Sat Nov 09 20:11:16 IST 2024","passed","Sat Nov 09 20:11:16 IST 2024","New Todo","tests-examples/demo-todo-app.spec.js","",""
"","454","should respect the back button","","Sat Nov 09 20:11:23 IST 2024","passed","Sat Nov 09 20:11:23 IST 2024","Routing","tests-examples/demo-todo-app.spec.js","",""
"","380","should remove completed items when clicked","","Sat Nov 09 20:11:21 IST 2024","passed","Sat Nov 09 20:11:22 IST 2024","Clear completed button","tests-examples/demo-todo-app.spec.js","",""
"","676","has title","","Sat Nov 09 20:11:14 IST 2024","passed","Sat Nov 09 20:11:14 IST 2024","","tests/example.spec.js","",""
"","341","should display the correct text","","Sat Nov 09 20:11:21 IST 2024","passed","Sat Nov 09 20:11:21 IST 2024","Clear completed button","tests-examples/demo-todo-app.spec.js","",""
"","298","should display the current number of todo items","","Sat Nov 09 20:11:21 IST 2024","passed","Sat Nov 09 20:11:21 IST 2024","Counter","tests-examples/demo-todo-app.spec.js","",""
"","359","should remove the item if an empty text string was entered","","Sat Nov 09 20:11:20 IST 2024","passed","Sat Nov 09 20:11:20 IST 2024","Editing","tests-examples/demo-todo-app.spec.js","",""
"","5971","has title","webkit","Sat Nov 09 20:10:27 IST 2024","failed","Sat Nov 09 20:10:33 IST 2024",""," fail.spec.js","",""
"","871","get started link","chromium","Sat Nov 09 20:10:23 IST 2024","passed","Sat Nov 09 20:10:24 IST 2024","","example.spec.js","",""
"","346","should hide other controls when editing","","Sat Nov 09 20:11:19 IST 2024","passed","Sat Nov 09 20:11:19 IST 2024","Editing","tests-examples/demo-todo-app.spec.js","",""
"","1583","should allow me to add todo items","","Sat Nov 09 20:11:14 IST 2024","passed","Sat Nov 09 20:11:15 IST 2024","New Todo","tests-examples/demo-todo-app.spec.js","",""
"","380","should be hidden when there are no items that are completed","","Sat Nov 09 20:11:22 IST 2024","passed","Sat Nov 09 20:11:22 IST 2024","Clear completed button","tests-examples/demo-todo-app.spec.js","",""
"","349","should append new items to the bottom of the list","","Sat Nov 09 20:11:16 IST 2024","passed","Sat Nov 09 20:11:16 IST 2024","New Todo","tests-examples/demo-todo-app.spec.js","",""
"","399","should allow me to un-mark items as complete","","Sat Nov 09 20:11:18 IST 2024","passed","Sat Nov 09 20:11:18 IST 2024","Item","tests-examples/demo-todo-app.spec.js","",""
"","383","should allow me to edit an item","","Sat Nov 09 20:11:18 IST 2024","passed","Sat Nov 09 20:11:19 IST 2024","Item","tests-examples/demo-todo-app.spec.js","",""
"","874","has title","chromium","Sat Nov 09 20:10:23 IST 2024","passed","Sat Nov 09 20:10:24 IST 2024","","example.spec.js","",""
"","351","should allow me to mark all items as completed","","Sat Nov 09 20:11:16 IST 2024","passed","Sat Nov 09 20:11:17 IST 2024","Mark all as completed","tests-examples/demo-todo-app.spec.js","",""
"","537","get started link","","Sat Nov 09 20:11:15 IST 2024","passed","Sat Nov 09 20:11:15 IST 2024","","tests/example.spec.js","",""
"","519","get started link","webkit","Sat Nov 09 20:10:29 IST 2024","passed","Sat Nov 09 20:10:29 IST 2024","","example.spec.js","",""
"","347","should cancel edits on escape","","Sat Nov 09 20:11:20 IST 2024","passed","Sat Nov 09 20:11:21 IST 2024","Editing","tests-examples/demo-todo-app.spec.js","",""
"","375","should allow me to display active items","","Sat Nov 09 20:11:22 IST 2024","passed","Sat Nov 09 20:11:23 IST 2024","Routing","tests-examples/demo-todo-app.spec.js","",""
"","991","has title","webkit","Sat Nov 09 20:10:27 IST 2024","passed","Sat Nov 09 20:10:28 IST 2024","","example.spec.js","",""
"","924","has title","firefox","Sat Nov 09 20:10:25 IST 2024","passed","Sat Nov 09 20:10:26 IST 2024","","example.spec.js","",""
"","5848","has title","chromium","Sat Nov 09 20:10:23 IST 2024","failed","Sat Nov 09 20:10:29 IST 2024",""," fail.spec.js","",""
"","5640","has title","","Sat Nov 09 20:11:14 IST 2024","failed","Sat Nov 09 20:11:19 IST 2024","","tests/ fail.spec.js","",""
"","353","should save edits on blur","","Sat Nov 09 20:11:19 IST 2024","passed","Sat Nov 09 20:11:19 IST 2024","Editing","tests-examples/demo-todo-app.spec.js","",""
"","380","should highlight the currently applied filter","","Sat Nov 09 20:11:24 IST 2024","passed","Sat Nov 09 20:11:24 IST 2024","Routing","tests-examples/demo-todo-app.spec.js","",""
